"ENST_ensemblTranscript","gene","ENSG_ensemblGene","EntrezSummary","HealthyMean","DiseasedMean","FoldChange","DifferentialExpression","patientID","patientValue","group"
"00000428667","","00000233818","                                            ENSG00000233818  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.88,0.88,0.47,-1,"patient3_healthy",1.99,"healthy ASCs"
"00000429588","","00000230479","                                            ENSG00000230479  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",4.15,1.68,0.41,-2.47,"patient3_healthy",4.33,"healthy ASCs"
"00000429816","","00000225258","                                            ENSG00000225258  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.26,0.1,0.38,-0.16,"patient3_healthy",0.25,"healthy ASCs"
"00000429866","","00000231443","                                            ENSG00000231443  is a Pseudogene.                                                                                                                                                                                ",0.33,0.15,0.47,-0.17,"patient3_healthy",0.42,"healthy ASCs"
"00000430078","","00000237927","                                            ENSG00000237927  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.16,0.08,0.47,-0.09,"patient3_healthy",0.13,"healthy ASCs"
"00000431202","","00000235143","                                            ENSG00000235143  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.09,0.03,0.38,-0.05,"patient3_healthy",0.04,"healthy ASCs"
"00000432251","","00000233397","                                            ENSG00000233397  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.89,0.81,0.43,-1.09,"patient3_healthy",1.18,"healthy ASCs"
"00000432828","","00000223777","                                            ENSG00000223777  is a Pseudogene.                                                                                                                                                                                ",0.28,0.12,0.44,-0.16,"patient3_healthy",2.17,"healthy ASCs"
"00000433040","","00000225606","                                            ENSG00000225606  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.07,0.03,0.43,-0.04,"patient3_healthy",0,"healthy ASCs"
"00000433219","","00000235319","                                            ENSG00000235319  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.11,0.04,0.38,-0.07,"patient3_healthy",0,"healthy ASCs"
"00000433840","","00000228120","                                            ENSG00000228120  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.03,0.01,0.39,-0.02,"patient3_healthy",0.07,"healthy ASCs"
"00000433997","","00000267026","                                            ENSG00000267026  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",25,11.19,0.45,-13.81,"patient3_healthy",24.2,"healthy ASCs"
"00000434291","","00000248751","                                            ENSG00000248751  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is TBC1D10A.",0.19,0.08,0.43,-0.11,"patient3_healthy",0.23,"healthy ASCs"
"00000434291","","00000248751","                                            ENSG00000248751  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is TBC1D10A.",0.19,0.08,0.43,-0.11,"patient3_healthy",0.23,"healthy ASCs"
"00000434300","","00000285280","                                            ENSG00000285280  is an Uncategorized gene.                                                                                                                                                                                ",0.34,0.15,0.43,-0.2,"patient3_healthy",1.42,"healthy ASCs"
"00000434363","","00000230084","                                            ENSG00000230084  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.3,0.14,0.45,-0.17,"patient3_healthy",0,"healthy ASCs"
"00000435281","","00000233379","                                            ENSG00000233379  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.13,0.06,0.49,-0.07,"patient3_healthy",0,"healthy ASCs"
"00000435693","","00000228729","                                            ENSG00000228729  is a Pseudogene.                                                                                                                                                                                ",0.03,0.01,0.42,-0.01,"patient3_healthy",0,"healthy ASCs"
"00000437438","","00000215023","                                            ENSG00000215023  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.23,0.1,0.44,-0.13,"patient3_healthy",0.28,"healthy ASCs"
"00000437523","","00000228826","                                            ENSG00000228826  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",2.02,0.79,0.39,-1.23,"patient3_healthy",1.07,"healthy ASCs"
"00000438210","","00000228477","                                            ENSG00000228477  is a Pseudogene.                                                                                                                                                                                ",0.19,0.08,0.42,-0.11,"patient3_healthy",0.27,"healthy ASCs"
"00000438324","","00000232756","                                            ENSG00000232756  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.35,0.15,0.43,-0.2,"patient3_healthy",0.22,"healthy ASCs"
"00000438639","","00000223829","                                            ENSG00000223829  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.04,0.02,0.42,-0.02,"patient3_healthy",0,"healthy ASCs"
"00000438969","","00000228031","                                            ENSG00000228031  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.21,0.08,0.4,-0.12,"patient3_healthy",0.26,"healthy ASCs"
"00000439076","","00000236394","                                            ENSG00000236394  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.07,0.03,0.47,-0.04,"patient3_healthy",0,"healthy ASCs"
"00000440038","","00000237094","                                            ENSG00000237094  is a Pseudogene.                                                                                                                                                                                ",0.26,0.11,0.43,-0.15,"patient3_healthy",0.21,"healthy ASCs"
"00000440224","","00000243621","                                            ENSG00000243621  is a Pseudogene.                                                                                                                                                                                ",0.34,0.15,0.44,-0.19,"patient3_healthy",0,"healthy ASCs"
"00000440581","","00000234115","                                            ENSG00000234115  is a Pseudogene.                                                                                                                                                                                ",0.01,0.01,0.43,-0.01,"patient3_healthy",0.13,"healthy ASCs"
"00000440714","","00000237609","                                            ENSG00000237609  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.24,0.58,0.46,-0.67,"patient3_healthy",0,"healthy ASCs"
"00000440985","","00000225721","                                            ENSG00000225721  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.54,0.27,0.49,-0.28,"patient3_healthy",1.21,"healthy ASCs"
"00000441416","","00000236491","                                            ENSG00000236491  is a Pseudogene.                                                                                                                                                                                ",0.12,0.05,0.47,-0.06,"patient3_healthy",0,"healthy ASCs"
"00000441532","","00000234206","                                            ENSG00000234206  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.56,0.27,0.49,-0.28,"patient3_healthy",1.93,"healthy ASCs"
"00000441746","","00000227161","                                            ENSG00000227161  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.77,0.31,0.4,-0.46,"patient3_healthy",0,"healthy ASCs"
"00000441772","","00000230080","                                            ENSG00000230080  is a Pseudogene.                                                                                                                                                                                ",0.01,0.01,0.46,-0.01,"patient3_healthy",0,"healthy ASCs"
"00000442417","","00000225205","                                            ENSG00000225205  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.12,0.49,0.44,-0.63,"patient3_healthy",0.41,"healthy ASCs"
"00000442564","","00000225726","                                            ENSG00000225726  is a Pseudogene.                                                                                                                                                                                ",1.28,0.5,0.39,-0.78,"patient3_healthy",0,"healthy ASCs"
"00000442800","","00000281593","                                            ENSG00000281593  is a Protein Coding gene.                                                                                                                                                                                ",0.04,0.02,0.41,-0.02,"patient3_healthy",0,"healthy ASCs"
"00000443897","","00000234597","                                            ENSG00000234597  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.03,0.01,0.44,-0.02,"patient3_healthy",0.04,"healthy ASCs"
"00000444478","","00000234698","                                            ENSG00000234698  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.98,0.48,0.49,-0.5,"patient3_healthy",1.16,"healthy ASCs"
"00000444708","","00000236687","                                            ENSG00000236687  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.14,0.06,0.4,-0.09,"patient3_healthy",0,"healthy ASCs"
"00000445332","","00000236255","                                            ENSG00000236255  is an Uncategorized gene.                                                                                                                                                                                ",1.35,0.62,0.46,-0.73,"patient3_healthy",0,"healthy ASCs"
"00000445345","","00000225981","                                            ENSG00000225981  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.99,0.47,0.47,-0.53,"patient3_healthy",0.7,"healthy ASCs"
"00000445766","PRICKLE1","00000139174
","This gene encodes a nuclear receptor that may be a negative regulator of the Wnt/beta-catenin signaling pathway. The encoded protein localizes to the nuclear membrane and has been implicated in the nuclear trafficking of the transcription repressors REST/NRSF and REST4. Mutations in this gene have been linked to progressive myoclonus epilepsy. Alternate splicing results in multiple transcript variants. A pseudogene of this gene is found on chromosome 3. [provided by RefSeq, Sep 2009]",1.57,0.75,0.48,-0.82,"patient3_healthy",1.13,"healthy ASCs"
"00000446309","","00000224046","                                            ENSG00000224046  is an Uncategorized gene.                                                                                                                                                                                ",0.18,0.07,0.4,-0.11,"patient3_healthy",0,"healthy ASCs"
"00000446476","","00000228692","                                            ENSG00000228692  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.43,0.2,0.46,-0.23,"patient3_healthy",0.42,"healthy ASCs"
"00000446626","","00000226007","                                            ENSG00000226007  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.13,0.05,0.37,-0.08,"patient3_healthy",0.25,"healthy ASCs"
"00000446626","","00000226007","                                            ENSG00000226007  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.13,0.05,0.37,-0.08,"patient3_healthy",0.25,"healthy ASCs"
"00000447037","","00000239415","                                            ENSG00000239415  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.42,0.2,0.47,-0.22,"patient3_healthy",2.38,"healthy ASCs"
"00000447099","","00000224256","                                            ENSG00000224256  is a Pseudogene.                                                                                                                                                                                ",0.28,0.14,0.49,-0.14,"patient3_healthy",0,"healthy ASCs"
"00000447227","","00000228553","                                            ENSG00000228553  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.86,0.86,0.46,-1,"patient3_healthy",3.09,"healthy ASCs"
"00000447343","","00000229299","                                            ENSG00000229299  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.87,0.35,0.41,-0.51,"patient3_healthy",0.18,"healthy ASCs"
"00000447721","MARS1","00000166986
","This gene encodes a member of the class I family of aminoacyl-tRNA synthetases. These enzymes play a critical role in protein biosynthesis by charging tRNAs with their cognate amino acids. The encoded protein is a component of the multi-tRNA synthetase complex and catalyzes the ligation of methionine to tRNA molecules. [provided by RefSeq, Jan 2011]",4.07,1.75,0.43,-2.32,"patient3_healthy",6.07,"healthy ASCs"
"00000447835","","00000225166","                                            ENSG00000225166  is an Uncategorized gene.                                                                                                                                                                                ",0.92,0.41,0.44,-0.51,"patient3_healthy",0.84,"healthy ASCs"
"00000448028","","00000226410","                                            ENSG00000226410  is a Pseudogene.                                                                                                                                                                                ",1.66,0.72,0.43,-0.94,"patient3_healthy",1.09,"healthy ASCs"
"00000448897","","00000232110","                                            ENSG00000232110  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.27,0.63,0.49,-0.64,"patient3_healthy",0,"healthy ASCs"
"00000449016","","00000237645","                                            ENSG00000237645  is a Pseudogene.                                                                                                                                                                                ",0.06,0.03,0.49,-0.03,"patient3_healthy",0,"healthy ASCs"
"00000450077","","00000232817","                                            ENSG00000232817  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.17,0.08,0.46,-0.09,"patient3_healthy",0.89,"healthy ASCs"
"00000450480","","00000231295","                                            ENSG00000231295  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.28,0.5,0.4,-0.77,"patient3_healthy",0.54,"healthy ASCs"
"00000450704","","00000226007","                                            ENSG00000226007  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.18,0.08,0.44,-0.1,"patient3_healthy",0,"healthy ASCs"
"00000450704","","00000226007","                                            ENSG00000226007  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.18,0.08,0.44,-0.1,"patient3_healthy",0,"healthy ASCs"
"00000450783","","00000233461","                                            ENSG00000233461  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.1,0.04,0.42,-0.06,"patient3_healthy",0,"healthy ASCs"
"00000451100","","00000244757","                                            ENSG00000244757  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.45,0.2,0.45,-0.25,"patient3_healthy",0.83,"healthy ASCs"
"00000451350","","00000225889","                                            ENSG00000225889  is an Uncategorized gene.                                            Diseases associated with ENSG00000225889 include Astrocytoma.                                                                                                                                    ",0.11,0.05,0.47,-0.06,"patient3_healthy",0.27,"healthy ASCs"
"00000451355","","00000225092","                                            ENSG00000225092  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.34,0.16,0.47,-0.18,"patient3_healthy",0.2,"healthy ASCs"
"00000451368","","00000225792","                                            ENSG00000225792  is an Uncategorized gene.                                                                                                                                                                                ",0.11,0.05,0.45,-0.06,"patient3_healthy",0,"healthy ASCs"
"00000451601","","00000225140","                                            ENSG00000225140  is an Uncategorized gene.                                                                                                                                                                                ",0.14,0.06,0.43,-0.08,"patient3_healthy",0.16,"healthy ASCs"
"00000451614","","00000228360","                                            ENSG00000228360  is a Pseudogene.                                                                                                                                                                                ",0.78,0.37,0.47,-0.42,"patient3_healthy",3.32,"healthy ASCs"
"00000451707","","00000235158","                                            ENSG00000235158  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.05,0.02,0.45,-0.03,"patient3_healthy",0.11,"healthy ASCs"
"00000451733","","00000232936","                                            ENSG00000232936  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.07,0.03,0.49,-0.04,"patient3_healthy",0,"healthy ASCs"
"00000451781","","00000285756","                                            ENSG00000285756  is an Uncategorized gene.                                                                                                                                                                                ",0.49,0.23,0.47,-0.26,"patient3_healthy",0,"healthy ASCs"
"00000451781","","00000285756","                                            ENSG00000285756  is an Uncategorized gene.                                                                                                                                                                                ",0.49,0.23,0.47,-0.26,"patient3_healthy",0,"healthy ASCs"
"00000452364","","00000223947","                                            ENSG00000223947  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.2,0.08,0.39,-0.12,"patient3_healthy",0.28,"healthy ASCs"
"00000452436","","00000176134","                                            ENSG00000176134  is a Pseudogene.                                                                                                                                                                                ",0.2,0.09,0.46,-0.11,"patient3_healthy",0,"healthy ASCs"
"00000452528","","00000236957","                                            ENSG00000236957  is a Pseudogene.                                                                                                                                                                                ",0.02,0.01,0.44,-0.01,"patient3_healthy",0,"healthy ASCs"
"00000453508","","00000230578","                                            ENSG00000230578  is a Pseudogene.                                                                                                                                                                                ",0.22,0.09,0.39,-0.14,"patient3_healthy",0.68,"healthy ASCs"
"00000453631","NFYC","00000066136
","This gene encodes one subunit of a trimeric complex forming a highly conserved transcription factor that binds with high specificity to CCAAT motifs in the promoters of a variety of genes. The encoded protein, subunit C, forms a tight dimer with the B subunit, a prerequisite for subunit A association. The resulting trimer binds to DNA with high specificity and affinity. Subunits B and C each contain a histone-like motif. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2008]",1.28,0.48,0.37,-0.81,"patient3_healthy",0.12,"healthy ASCs"
"00000454534","","00000227813","                                            ENSG00000227813  is a Pseudogene.                                                                                                                                                                                ",0.16,0.07,0.44,-0.09,"patient3_healthy",0,"healthy ASCs"
"00000454877","","00000228005","                                            ENSG00000228005  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.06,0.03,0.41,-0.04,"patient3_healthy",0,"healthy ASCs"
"00000454882","","00000233064","                                            ENSG00000233064  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.69,0.31,0.45,-0.38,"patient3_healthy",0.64,"healthy ASCs"
"00000454980","","00000233818","                                            ENSG00000233818  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.05,0.4,0.38,-0.65,"patient3_healthy",0.9,"healthy ASCs"
"00000454980","","00000233818","                                            ENSG00000233818  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.05,0.4,0.38,-0.65,"patient3_healthy",0.9,"healthy ASCs"
"00000454994","","00000274944","                                            ENSG00000274944  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is MYCBP.",0.02,0.01,0.4,-0.01,"patient3_healthy",0,"healthy ASCs"
"00000455503","","00000237976","                                            ENSG00000237976  is an Uncategorized gene.                                                                                                                                                                                ",0.5,0.23,0.47,-0.27,"patient3_healthy",0,"healthy ASCs"
"00000456346","","00000235972","                                            ENSG00000235972  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.02,0.01,0.44,-0.01,"patient3_healthy",0,"healthy ASCs"
"00000456921","","00000228238","                                            ENSG00000228238  is a Pseudogene.                                                                                                                                                                                ",0.41,0.16,0.4,-0.25,"patient3_healthy",0.98,"healthy ASCs"
"00000456944","","00000224945","                                            ENSG00000224945  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.39,0.57,0.41,-0.82,"patient3_healthy",0.45,"healthy ASCs"
"00000457251","","00000235485","                                            ENSG00000235485  is a Pseudogene.                                                                                                                                                                                ",0.01,0,0.42,0,"patient3_healthy",0,"healthy ASCs"
"00000457707","","00000229766","                                            ENSG00000229766  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.07,0.03,0.47,-0.04,"patient3_healthy",0.11,"healthy ASCs"
"00000457921","","00000243004","                                            ENSG00000243004  is an Uncategorized gene.                                                                                                                                                                                ",0.25,0.1,0.39,-0.15,"patient3_healthy",0,"healthy ASCs"
"00000457976","","00000237422","                                            ENSG00000237422  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.69,0.31,0.44,-0.38,"patient3_healthy",1.34,"healthy ASCs"
"00000457996","","00000233029","                                            ENSG00000233029  is an Uncategorized gene.                                                                                                                                                                                ",0.06,0.03,0.48,-0.03,"patient3_healthy",0.09,"healthy ASCs"
"00000459374","","00000238713","                                            ENSG00000238713  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",1.12,0.47,0.42,-0.65,"patient3_healthy",0.98,"healthy ASCs"
"00000462300","","00000241912","                                            ENSG00000241912  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.14,0.06,0.4,-0.09,"patient3_healthy",0.78,"healthy ASCs"
"00000467896","","00000240497","                                            ENSG00000240497  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",2.19,0.81,0.37,-1.37,"patient3_healthy",6.61,"healthy ASCs"
"00000468242","","00000240207","                                            ENSG00000240207  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.26,0.12,0.45,-0.15,"patient3_healthy",0.42,"healthy ASCs"
"00000469183","","00000283549","                                            ENSG00000283549  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.24,0.1,0.41,-0.14,"patient3_healthy",0.38,"healthy ASCs"
"00000471946","MDM2","00000135679
","This gene encodes a nuclear-localized E3 ubiquitin ligase. The encoded protein can promote tumor formation by targeting tumor suppressor proteins, such as p53, for proteasomal degradation. This gene is itself transcriptionally-regulated by p53. Overexpression or amplification of this locus is detected in a variety of different cancers. There is a pseudogene for this gene on chromosome 2. Alternative splicing results in a multitude of transcript variants, many of which may be expressed only in tumor cells. [provided by RefSeq, Jun 2013]",8.16,4.02,0.49,-4.15,"patient3_healthy",2.3,"healthy ASCs"
"00000474798","","00000239462","                                            ENSG00000239462  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.47,0.6,0.41,-0.88,"patient3_healthy",0,"healthy ASCs"
"00000477314","","00000287908","                                            ENSG00000287908  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is ARHGEF25.",0.13,0.06,0.48,-0.07,"patient3_healthy",0,"healthy ASCs"
"00000480694","","00000176349","                                            ENSG00000176349  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.01,0,0.43,0,"patient3_healthy",0,"healthy ASCs"
"00000481897","RAB3IP","00000127328
","                                            RAB3IP (RAB3A Interacting Protein) is a Protein Coding gene.                                            Diseases associated with RAB3IP include Nephronophthisis 15 and Bardet-Biedl Syndrome 3.                                            Among its related pathways are Organelle biogenesis and maintenance and RAB GEFs exchange GTP for GDP on RABs.                                            Gene Ontology (GO) annotations related to this gene include Rab guanyl-nucleotide exchange factor activity.                                            An important paralog of this gene is RAB3IL1.",0.08,0.04,0.48,-0.04,"patient3_healthy",0.1,"healthy ASCs"
"00000482431","","00000243024","                                            ENSG00000243024  is a Pseudogene.                                                                                                                                                                                ",0.08,0.04,0.44,-0.05,"patient3_healthy",0.11,"healthy ASCs"
"00000483901","","00000243655","                                            ENSG00000243655  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.13,0.05,0.42,-0.08,"patient3_healthy",0,"healthy ASCs"
"00000485389","","00000243116","                                            ENSG00000243116  is a Pseudogene.                                                                                                                                                                                ",0.19,0.07,0.37,-0.12,"patient3_healthy",0.52,"healthy ASCs"
"00000485781","MDH1","00000014641
","This gene encodes an enzyme that catalyzes the NAD/NADH-dependent, reversible oxidation of malate to oxaloacetate in many metabolic pathways, including the citric acid cycle. Two main isozymes are known to exist in eukaryotic cells: one is found in the mitochondrial matrix and the other in the cytoplasm. This gene encodes the cytosolic isozyme, which plays a key role in the malate-aspartate shuttle that allows malate to pass through the mitochondrial membrane to be transformed into oxaloacetate for further cellular processes. Alternatively spliced transcript variants have been found for this gene. A recent study showed that a C-terminally extended isoform is produced by use of an alternative in-frame translation termination codon via a stop codon readthrough mechanism, and that this isoform is localized in the peroxisomes. Pseudogenes have been identified on chromosomes X and 6. [provided by RefSeq, Feb 2016]",2.64,0.97,0.37,-1.67,"patient3_healthy",0,"healthy ASCs"
"00000487752","CLEC2D","00000069493
","This gene encodes a member of the natural killer cell receptor C-type lectin family. The encoded protein inhibits osteoclast formation and contains a transmembrane domain near the N-terminus as well as the C-type lectin-like extracellular domain. Several alternatively spliced transcript variants have been identified for this gene. [provided by RefSeq, Oct 2010]",3.4,1.48,0.44,-1.91,"patient3_healthy",2.22,"healthy ASCs"
"00000488788","","00000270299","                                            ENSG00000270299  is a Protein Coding gene.                                                                                                                                                                                ",1.16,0.48,0.41,-0.69,"patient3_healthy",0.58,"healthy ASCs"
"00000490314","","00000240790","                                            ENSG00000240790  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.11,0.05,0.44,-0.06,"patient3_healthy",0,"healthy ASCs"
"00000493710","","00000240758","                                            ENSG00000240758  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.74,0.3,0.41,-0.43,"patient3_healthy",0.52,"healthy ASCs"
"00000493771","","00000167807","                                            ENSG00000167807  is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include electron transfer activity and 2 iron, 2 sulfur cluster binding.                                            An important paralog of this gene is FDX2.",0.08,0.03,0.43,-0.04,"patient3_healthy",0.11,"healthy ASCs"
"00000493920","","00000223886","                                            ENSG00000223886  is a Pseudogene.                                                                                                                                                                                ",0.18,0.08,0.47,-0.09,"patient3_healthy",0.89,"healthy ASCs"
"00000495088","","00000241537","                                            ENSG00000241537  is a Pseudogene.                                                                                                                                                                                ",0.06,0.03,0.45,-0.04,"patient3_healthy",0,"healthy ASCs"
"00000495576","","00000239945","                                            ENSG00000239945  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.17,0.08,0.48,-0.09,"patient3_healthy",0,"healthy ASCs"
"00000496674","","00000240241","                                            ENSG00000240241  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.41,0.16,0.39,-0.25,"patient3_healthy",0,"healthy ASCs"
"00000497334","","00000242602","                                            ENSG00000242602  is a Pseudogene.                                                                                                                                                                                ",0.42,0.2,0.48,-0.22,"patient3_healthy",0,"healthy ASCs"
