"product","productIngredient","gene","EnsemblID","EntrezSummary","GeneCardsSummary","UniProtKB_Summary"
"Off! Bug repellant","ethanol","ALDH2","ENSG00000111275","This protein belongs to the aldehyde dehydrogenase family of proteins. Aldehyde dehydrogenase is the second enzyme of the major oxidative pathway of alcohol metabolism. Two major liver isoforms of aldehyde dehydrogenase, cytosolic and mitochondrial, can be distinguished by their electrophoretic mobilities, kinetic properties, and subcellular localizations. Most Caucasians have two major isozymes, while approximately 50% of East Asians have the cytosolic isozyme but not the mitochondrial isozyme. A remarkably higher frequency of acute alcohol intoxication among East Asians than among Caucasians could be related to the absence of a catalytically active form of the mitochondrial isozyme. The increased exposure to acetaldehyde in individuals with the catalytically inactive form may also confer greater susceptibility to many types of cancer. This gene encodes a mitochondrial isoform, which has a low Km for acetaldehydes, and is localized in mitochondrial matrix. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, Nov 2016]","ALDH2 (Aldehyde Dehydrogenase 2 Family Member) is a Protein Coding gene.                                            Diseases associated with ALDH2 include Alcohol Sensitivity, Acute and Alcohol Dependence.                                            Among its related pathways are Glucose metabolism and Neurotransmitter Clearance In The Synaptic Cleft.                                            Gene Ontology (GO) annotations related to this gene include oxidoreductase activity and aldehyde dehydrogenase (NAD) activity.                                            An important paralog of this gene is ALDH1B1.","no summary"
"Off! Bug repellant","ethanol","CYP2E1","ENSG00000130649","This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and is induced by ethanol, the diabetic state, and starvation. The enzyme metabolizes both endogenous substrates, such as ethanol, acetone, and acetal, as well as exogenous substrates including benzene, carbon tetrachloride, ethylene glycol, and nitrosamines which are premutagens found in cigarette smoke. Due to its many substrates, this enzyme may be involved in such varied processes as gluconeogenesis, hepatic cirrhosis, diabetes, and cancer. [provided by RefSeq, Jul 2008]","CYP2E1 (Cytochrome P450 Family 2 Subfamily E Member 1) is a Protein Coding gene.                                            Diseases associated with CYP2E1 include Alcoholic Liver Cirrhosis and Fatty Liver Disease.                                            Among its related pathways are Zidovudine Pathway, Pharmacokinetics/Pharmacodynamics and Cytochrome P450 - arranged by substrate type.                                            Gene Ontology (GO) annotations related to this gene include enzyme binding and iron ion binding.                                            An important paralog of this gene is CYP2C18.","A cytochrome P450 monooxygenase involved in the metabolism of fatty acids (PubMed:10553002, PubMed:18577768). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:10553002, PubMed:18577768). Catalyzes the hydroxylation of carbon-hydrogen bonds. Hydroxylates fatty acids specifically at the omega-1 position displaying the highest catalytic activity for saturated fatty acids (PubMed:10553002, PubMed:18577768). May be involved in the oxidative metabolism of xenobiotics (Probable).
                         CP2E1_HUMAN,P05181
                         "
"Off! Bug repellant","ethanol","ADH1B","ENSG00000196616","The protein encoded by this gene is a member of the alcohol dehydrogenase family. Members of this enzyme family metabolize a wide variety of substrates, including ethanol, retinol, other aliphatic alcohols, hydroxysteroids, and lipid peroxidation products. This encoded protein, consisting of several homo- and heterodimers of alpha, beta, and gamma subunits, exhibits high activity for ethanol oxidation and plays a major role in ethanol catabolism. Three genes encoding alpha, beta and gamma subunits are tandemly organized in a genomic segment as a gene cluster. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2013]","ADH1B (Alcohol Dehydrogenase 1B (Class I), Beta Polypeptide) is a Protein Coding gene.                                            Diseases associated with ADH1B include Alcohol Dependence and Fetal Alcohol Syndrome.                                            Among its related pathways are Glucose metabolism and acetone degradation I (to methylglyoxal).                                            Gene Ontology (GO) annotations related to this gene include oxidoreductase activity and alcohol dehydrogenase activity, zinc-dependent.                                            An important paralog of this gene is ADH1C.","Catalyzes the NAD-dependent oxidation of all-trans-retinol and its derivatives such as all-trans-4-hydroxyretinol and may participate in retinoid metabolism (PubMed:15369820, PubMed:16787387). In vitro can also catalyzes the NADH-dependent reduction of all-trans-retinal and its derivatives such as all-trans-4-oxoretinal (PubMed:15369820, PubMed:16787387). Catalyzes in the oxidative direction with higher efficiency (PubMed:16787387). Has the same affinity for all-trans-4-hydroxyretinol and all-trans-4-oxoretinal (PubMed:15369820).
                         ADH1B_HUMAN,P00325
                         "
"Off! Bug repellant","ethanol","ADH7","ENSG00000196344","This gene encodes class IV alcohol dehydrogenase 7 mu or sigma subunit, which is a member of the alcohol dehydrogenase family. Members of this family metabolize a wide variety of substrates, including ethanol, retinol, other aliphatic alcohols, hydroxysteroids, and lipid peroxidation products. The enzyme encoded by this gene is inefficient in ethanol oxidation, but is the most active as a retinol dehydrogenase; thus it may participate in the synthesis of retinoic acid, a hormone important for cellular differentiation. The expression of this gene is much more abundant in stomach than liver, thus differing from the other known gene family members. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2009]","ADH7 (Alcohol Dehydrogenase 7 (Class IV), Mu Or Sigma Polypeptide) is a Protein Coding gene.                                            Diseases associated with ADH7 include Alcohol Dependence and Atrophic Gastritis.                                            Among its related pathways are Glucose metabolism and Drug metabolism - cytochrome P450.                                            Gene Ontology (GO) annotations related to this gene include oxidoreductase activity and retinol binding.                                            An important paralog of this gene is ADH1A.","Catalyzes the NAD-dependent oxidation of all-trans-retinol, alcohol, and omega-hydroxy fatty acids and their derivatives (PubMed:15369820, PubMed:16787387, PubMed:9600267). Oxidizes preferentially all trans-retinol, all-trans-4-hydroxyretinol, 9-cis-retinol, 2-hexenol, and long chain omega-hydroxy fatty acids such as juniperic acid (PubMed:15369820, PubMed:16787387, PubMed:9600267). In vitro can also catalyzes the NADH-dependent reduction of all-trans-retinal and aldehydes and their derivatives (PubMed:15369820, PubMed:16787387, PubMed:9600267). Reduces preferentially all trans-retinal, all-trans-4-oxoretinal and hexanal (PubMed:15369820, PubMed:16787387). Catalyzes in the oxidative direction with higher efficiency (PubMed:16787387, PubMed:15369820). Therefore may participate in retinoid metabolism, fatty acid omega-oxidation, and elimination of cytotoxic aldehydes produced by lipid peroxidation (PubMed:9600267, PubMed:15369820, PubMed:16787387).
                         ADH7_HUMAN,P40394
                         "
"Off! Bug repellant","ethanol","CAT","ENSG00000121691","This gene encodes catalase, a key antioxidant enzyme in the bodies defense against oxidative stress. Catalase is a heme enzyme that is present in the peroxisome of nearly all aerobic cells. Catalase converts the reactive oxygen species hydrogen peroxide to water and oxygen and thereby mitigates the toxic effects of hydrogen peroxide. Oxidative stress is hypothesized to play a role in the development of many chronic or late-onset diseases such as diabetes, asthma, Alzheimer's disease, systemic lupus erythematosus, rheumatoid arthritis, and cancers. Polymorphisms in this gene have been associated with decreases in catalase activity but, to date, acatalasemia is the only disease known to be caused by this gene. [provided by RefSeq, Oct 2009]","CAT (Catalase) is a Protein Coding gene.                                            Diseases associated with CAT include Acatalasemia and Pityriasis Versicolor.                                            Among its related pathways are Folate Metabolism and Detoxification of Reactive Oxygen Species.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and enzyme binding.                                            ","Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide. Promotes growth of cells including T-cells, B-cells, myeloid leukemia cells, melanoma cells, mastocytoma cells and normal and transformed fibroblast cells.
                         CATA_HUMAN,P04040
                         "
"aromatherapy","eucalyptus","PPARA","ENSG00000186951","Peroxisome proliferators include hypolipidemic drugs, herbicides, leukotriene antagonists, and plasticizers; this term arises because they induce an increase in the size and number of peroxisomes. Peroxisomes are subcellular organelles found in plants and animals that contain enzymes for respiration and for cholesterol and lipid metabolism. The action of peroxisome proliferators is thought to be mediated via specific receptors, called PPARs, which belong to the steroid hormone receptor superfamily. PPARs affect the expression of target genes involved in cell proliferation, cell differentiation and in immune and inflammation responses. Three closely related subtypes (alpha, beta/delta, and gamma) have been identified. This gene encodes the subtype PPAR-alpha, which is a nuclear transcription factor. Multiple alternatively spliced transcript variants have been described for this gene, although the full-length nature of only two has been determined. [provided by RefSeq, Jul 2008]","PPARA (Peroxisome Proliferator Activated Receptor Alpha) is a Protein Coding gene.                                            Diseases associated with PPARA include Fatty Liver Disease and Lipid Metabolism Disorder.                                            Among its related pathways are Organelle biogenesis and maintenance and Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha).                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity.                                            An important paralog of this gene is PPARD.","Ligand-activated transcription factor. Key regulator of lipid metabolism. Activated by the endogenous ligand 1-palmitoyl-2-oleoyl-sn-glycerol-3-phosphocholine (16:0/18:1-GPC). Activated by oleylethanolamide, a naturally occurring lipid that regulates satiety. Receptor for peroxisome proliferators such as hypolipidemic drugs and fatty acids. Regulates the peroxisomal beta-oxidation pathway of fatty acids. Functions as transcription activator for the ACOX1 and P450 genes. Transactivation activity requires heterodimerization with RXRA and is antagonized by NR2C2. May be required for the propagation of clock information to metabolic pathways regulated by PER2.
                         PPARA_HUMAN,Q07869
                         "
"aromatherapy","eucalyptus","ACOX1","ENSG00000161533","The protein encoded by this gene is the first enzyme of the fatty acid beta-oxidation pathway, which catalyzes the desaturation of acyl-CoAs to 2-trans-enoyl-CoAs. It donates electrons directly to molecular oxygen, thereby producing hydrogen peroxide. Defects in this gene result in pseudoneonatal adrenoleukodystrophy, a disease that is characterized by accumulation of very long chain fatty acids. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]","ACOX1 (Acyl-CoA Oxidase 1) is a Protein Coding gene.                                            Diseases associated with ACOX1 include Peroxisomal Acyl-Coa Oxidase Deficiency and Adrenoleukodystrophy.                                            Among its related pathways are Linoleic acid metabolism and beta-Alanine metabolism (KEGG).                                            Gene Ontology (GO) annotations related to this gene include signaling receptor binding and protein N-terminus binding.                                            An important paralog of this gene is ACOX2.","Catalyzes the desaturation of acyl-CoAs to 2-trans-enoyl-CoAs.
                         ACOX1_HUMAN,Q15067
                         "
"aromatherapy","eucalyptus","MDH2","ENSG00000146701","Malate dehydrogenase catalyzes the reversible oxidation of malate to oxaloacetate, utilizing the NAD/NADH cofactor system in the citric acid cycle. The protein encoded by this gene is localized to the mitochondria and may play pivotal roles in the malate-aspartate shuttle that operates in the metabolic coordination between cytosol and mitochondria. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2013]","MDH2 (Malate Dehydrogenase 2) is a Protein Coding gene.                                            Diseases associated with MDH2 include Epileptic Encephalopathy, Early Infantile, 51 and Hereditary Paraganglioma-Pheochromocytoma Syndromes.                                            Among its related pathways are Glucose metabolism and Glyoxylate and dicarboxylate metabolism.                                            Gene Ontology (GO) annotations related to this gene include oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor.                                            An important paralog of this gene is LDHA.","no summary"
"aromatherapy","eucalyptus","CYP3A4","ENSG00000160868","This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases that catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and its expression is induced by glucocorticoids and some pharmacological agents. This enzyme is involved in the metabolism of approximately half the drugs in use today, including acetaminophen, codeine, cyclosporin A, diazepam and erythromycin. The enzyme also metabolizes some steroids and carcinogens. This gene is part of a cluster of cytochrome P450 genes on chromosome 7q21.1. Previously another CYP3A gene, CYP3A3, was thought to exist; however, it is now thought that this sequence represents a transcript variant of CYP3A4. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Feb 2011]","CYP3A4 (Cytochrome P450 Family 3 Subfamily A Member 4) is a Protein Coding gene.                                            Diseases associated with CYP3A4 include Acetaminophen Metabolism and Drug Allergy.                                            Among its related pathways are Zidovudine Pathway, Pharmacokinetics/Pharmacodynamics and Cytochrome P450 - arranged by substrate type.                                            Gene Ontology (GO) annotations related to this gene include enzyme binding and iron ion binding.                                            An important paralog of this gene is CYP3A7.","A cytochrome P450 monooxygenase involved in the metabolism of sterols, steroid hormones, retinoids and fatty acids (PubMed:10681376, PubMed:11093772, PubMed:11555828, PubMed:14559847, PubMed:12865317, PubMed:15373842, PubMed:15764715, PubMed:20702771, PubMed:19965576, PubMed:21490593, PubMed:21576599). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase). Catalyzes the hydroxylation of carbon-hydrogen bonds (PubMed:2732228, PubMed:14559847, PubMed:12865317, PubMed:15373842, PubMed:15764715, PubMed:21576599, PubMed:21490593). Exhibits high catalytic activity for the formation of hydroxyestrogens from estrone (E1) and 17beta-estradiol (E2), namely 2-hydroxy E1 and E2, as well as D-ring hydroxylated E1 and E2 at the C-16 position (PubMed:11555828, PubMed:14559847, PubMed:12865317). Plays a role in the metabolism of androgens, particularly in oxidative deactivation of testosterone (PubMed:2732228, PubMed:15373842, PubMed:15764715, PubMed:22773874). Metabolizes testosterone to less biologically active 2beta- and 6beta-hydroxytestosterones (PubMed:2732228, PubMed:15373842, PubMed:15764715). Contributes to the formation of hydroxycholesterols (oxysterols), particularly A-ring hydroxylated cholesterol at the C-4beta position, and side chain hydroxylated cholesterol at the C-25 position, likely contributing to cholesterol degradation and bile acid biosynthesis (PubMed:21576599). Catalyzes bisallylic hydroxylation of polyunsaturated fatty acids (PUFA) (PubMed:9435160). Catalyzes the epoxidation of double bonds of PUFA with a preference for the last double bond (PubMed:19965576). Metabolizes endocannabinoid arachidonoylethanolamide (anandamide) to 8,9-, 11,12-, and 14,15-epoxyeicosatrienoic acid ethanolamides (EpETrE-EAs), potentially modulating endocannabinoid system signaling (PubMed:20702771). Plays a role in the metabolism of retinoids. Displays high catalytic activity for oxidation of all-trans-retinol to all-trans-retinal, a rate-limiting step for the biosynthesis of all-trans-retinoic acid (atRA) (PubMed:10681376). Further metabolizes atRA toward 4-hydroxyretinoate and may play a role in hepatic atRA clearance (PubMed:11093772). Responsible for oxidative metabolism of xenobiotics. Acts as a 2-exo-monooxygenase for plant lipid 1,8-cineole (eucalyptol) (PubMed:11159812). Metabolizes the majority of the administered drugs. Catalyzes sulfoxidation of the anthelmintics albendazole and fenbendazole (PubMed:10759686). Hydroxylates antimalarial drug quinine (PubMed:8968357). Acts as a 1,4-cineole 2-exo-monooxygenase (PubMed:11695850).
                         CP3A4_HUMAN,P08684
                         "
"aromatherapy","eucalyptus","CYP2C19","ENSG00000165841","This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and is known to metabolize many xenobiotics, including the anticonvulsive drug mephenytoin, omeprazole, diazepam and some barbiturates. Polymorphism within this gene is associated with variable ability to metabolize mephenytoin, known as the poor metabolizer and extensive metabolizer phenotypes. The gene is located within a cluster of cytochrome P450 genes on chromosome 10q24. [provided by RefSeq, Jul 2008]","CYP2C19 (Cytochrome P450 Family 2 Subfamily C Member 19) is a Protein Coding gene.                                            Diseases associated with CYP2C19 include Drug Metabolism, Poor, Cyp2c19-Related and Peptic Ulcer Disease.                                            Among its related pathways are Cytochrome P450 - arranged by substrate type and Imipramine/Desipramine Pathway, Pharmacokinetics.                                            Gene Ontology (GO) annotations related to this gene include enzyme binding and iron ion binding.                                            An important paralog of this gene is CYP2C9.","A cytochrome P450 monooxygenase involved in the metabolism of polyunsaturated fatty acids (PUFA) (PubMed:18577768, PubMed:19965576, PubMed:20972997). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:18577768, PubMed:19965576, PubMed:20972997). Catalyzes the hydroxylation of carbon-hydrogen bonds. Hydroxylates PUFA specifically at the omega-1 position (PubMed:18577768). Catalyzes the epoxidation of double bonds of PUFA (PubMed:20972997, PubMed:19965576). Also metabolizes plant monoterpenes such as limonene. Oxygenates (R)- and (S)-limonene to produce carveol and perillyl alcohol (PubMed:11950794). Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and imipramine. Hydroxylates fenbendazole at the 4' position (PubMed:23959307).
                         CP2CJ_HUMAN,P33261
                         "
"fat","fat","APOB","ENSG00000084674","This gene product is the main apolipoprotein of chylomicrons and low density lipoproteins (LDL), and is the ligand for the LDL receptor. It occurs in plasma as two main isoforms, apoB-48 and apoB-100: the former is synthesized exclusively in the gut and the latter in the liver. The intestinal and the hepatic forms of apoB are encoded by a single gene from a single, very long mRNA. The two isoforms share a common N-terminal sequence. The shorter apoB-48 protein is produced after RNA editing of the apoB-100 transcript at residue 2180 (CAA->UAA), resulting in the creation of a stop codon, and early translation termination. Mutations in this gene or its regulatory region cause hypobetalipoproteinemia, normotriglyceridemic hypobetalipoproteinemia, and hypercholesterolemia due to ligand-defective apoB, diseases affecting plasma cholesterol and apoB levels. [provided by RefSeq, Dec 2019]","APOB (Apolipoprotein B) is a Protein Coding gene.                                            Diseases associated with APOB include Hypobetalipoproteinemia, Familial, 1 and Hypercholesterolemia, Familial, 2.                                            Among its related pathways are Activated TLR4 signalling and Lipoprotein metabolism.                                            Gene Ontology (GO) annotations related to this gene include binding and heparin binding.                                            ","Apolipoprotein B is a major protein constituent of chylomicrons (apo B-48), LDL (apo B-100) and VLDL (apo B-100). Apo B-100 functions as a recognition signal for the cellular binding and internalization of LDL particles by the apoB/E receptor.
                         APOB_HUMAN,P04114
                         "
"fat","fat","INS","ENSG00000254647","This gene encodes insulin, a peptide hormone that plays a vital role in the regulation of carbohydrate and lipid metabolism. After removal of the precursor signal peptide, proinsulin is post-translationally cleaved into three peptides: the B chain and A chain peptides, which are covalently linked via two disulfide bonds to form insulin, and C-peptide. Binding of insulin to the insulin receptor (INSR) stimulates glucose uptake. A multitude of mutant alleles with phenotypic effects have been identified, including insulin-dependent diabetes mellitus, permanent neonatal diabetes diabetes mellitus, maturity-onset diabetes of the young type 10 and hyperproinsulinemia. There is a read-through gene, INS-IGF2, which overlaps with this gene at the 5' region and with the IGF2 gene at the 3' region. [provided by RefSeq, May 2020]","INS (Insulin) is a Protein Coding gene.                                            Diseases associated with INS include Hyperproinsulinemia and Maturity-Onset Diabetes Of The Young, Type 10.                                            Among its related pathways are RET signaling and Folate Metabolism.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and protease binding.                                            An important paralog of this gene is INS-IGF2.","Insulin decreases blood glucose concentration. It increases cell permeability to monosaccharides, amino acids and fatty acids. It accelerates glycolysis, the pentose phosphate cycle, and glycogen synthesis in liver.
                         INS_HUMAN,P01308
                         "
"fat","fat","PPARG","ENSG00000132170","This gene encodes a member of the peroxisome proliferator-activated receptor (PPAR) subfamily of nuclear receptors. PPARs form heterodimers with retinoid X receptors (RXRs) and these heterodimers regulate transcription of various genes. Three subtypes of PPARs are known: PPAR-alpha, PPAR-delta, and PPAR-gamma. The protein encoded by this gene is PPAR-gamma and is a regulator of adipocyte differentiation. Additionally, PPAR-gamma has been implicated in the pathology of numerous diseases including obesity, diabetes, atherosclerosis and cancer. Alternatively spliced transcript variants that encode different isoforms have been described. [provided by RefSeq, Jul 2008]","PPARG (Peroxisome Proliferator Activated Receptor Gamma) is a Protein Coding gene.                                            Diseases associated with PPARG include Lipodystrophy, Familial Partial, Type 3 and Carotid Intimal Medial Thickness 1.                                            Among its related pathways are Transcriptional misregulation in cancer and Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins..                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and chromatin binding.                                            An important paralog of this gene is PPARA.","Nuclear receptor that binds peroxisome proliferators such as hypolipidemic drugs and fatty acids. Once activated by a ligand, the nuclear receptor binds to DNA specific PPAR response elements (PPRE) and modulates the transcription of its target genes, such as acyl-CoA oxidase. It therefore controls the peroxisomal beta-oxidation pathway of fatty acids. Key regulator of adipocyte differentiation and glucose homeostasis. ARF6 acts as a key regulator of the tissue-specific adipocyte P2 (aP2) enhancer. Acts as a critical regulator of gut homeostasis by suppressing NF-kappa-B-mediated proinflammatory responses. Plays a role in the regulation of cardiovascular circadian rhythms by regulating the transcription of ARNTL/BMAL1 in the blood vessels (By similarity).
                         PPARG_HUMAN,P37231
                         "
"SixStar pre-workout","fd&c red no. 40","BDNF","ENSG00000176697","This gene encodes a member of the nerve growth factor family of proteins. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate the mature protein. Binding of this protein to its cognate receptor promotes neuronal survival in the adult brain. Expression of this gene is reduced in Alzheimer's, Parkinson's, and Huntington's disease patients. This gene may play a role in the regulation of the stress response and in the biology of mood disorders. [provided by RefSeq, Nov 2015]","BDNF (Brain Derived Neurotrophic Factor) is a Protein Coding gene.                                            Diseases associated with BDNF include Central Hypoventilation Syndrome, Congenital and Wilms Tumor, Aniridia, Genitourinary Anomalies, And Mental Retardation Syndrome.                                            Among its related pathways are ERK Pathway in Huntingtons Disease and Guidance Cues and Growth Cone Motility.                                            Gene Ontology (GO) annotations related to this gene include signaling receptor binding and neurotrophin TRKB receptor binding.                                            An important paralog of this gene is NTF3.","Important signaling molecule that activates signaling cascades downstream of NTRK2 (PubMed:11152678). During development, promotes the survival and differentiation of selected neuronal populations of the peripheral and central nervous systems. Participates in axonal growth, pathfinding and in the modulation of dendritic growth and morphology. Major regulator of synaptic transmission and plasticity at adult synapses in many regions of the CNS. The versatility of BDNF is emphasized by its contribution to a range of adaptive neuronal responses including long-term potentiation (LTP), long-term depression (LTD), certain forms of short-term synaptic plasticity, as well as homeostatic regulation of intrinsic neuronal excitability.
                         BDNF_HUMAN,P23560
                         "
"SixStar pre-workout","fd&c red no. 40","ELP1","ENSG00000070061","The protein encoded by this gene is a scaffold protein and a regulator for three different kinases involved in proinflammatory signaling. The encoded protein can bind NF-kappa-B-inducing kinase and I-kappa-B kinases through separate domains and assemble them into an active kinase complex. Mutations in this gene have been associated with familial dysautonomia. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2016]","ELP1 (Elongator Complex Protein 1) is a Protein Coding gene.                                            Diseases associated with ELP1 include Neuropathy, Hereditary Sensory And Autonomic, Type Iii and Charcot-Marie-Tooth Disease/Hereditary Motor And Sensory Neuropathy.                                            Among its related pathways are Chromatin organization and Transcription_NF-kB signaling pathway.                                                                                        ","Component of the RNA polymerase II elongator complex, a multiprotein complex associated with the RNA polymerase II (Pol II) holoenzyme, and which is involved in transcriptional elongation (PubMed:11714725, PubMed:11818576). The elongator complex catalyzes formation of carboxymethyluridine in the wobble base at position 34 in tRNAs (PubMed:29332244). Involved in neurogenesis (By similarity). Regulates the migration and branching of projection neurons in the developing cerebral cortex, through a process depending on alpha-tubulin acetylation (By similarity). May act as a scaffold protein that may assemble active IKK-MAP3K14 complexes (IKKA, IKKB and MAP3K14/NIK) (PubMed:9751059).
                         ELP1_HUMAN,O95163
                         "
"SixStar pre-workout","fd&c red no. 40","GLA","ENSG00000102393","This gene encodes a homodimeric glycoprotein that hydrolyses the terminal alpha-galactosyl moieties from glycolipids and glycoproteins. This enzyme predominantly hydrolyzes ceramide trihexoside, and it can catalyze the hydrolysis of melibiose into galactose and glucose. A variety of mutations in this gene affect the synthesis, processing, and stability of this enzyme, which causes Fabry disease, a rare lysosomal storage disorder that results from a failure to catabolize alpha-D-galactosyl glycolipid moieties. [provided by RefSeq, Jul 2008]","GLA (Galactosidase Alpha) is a Protein Coding gene.                                            Diseases associated with GLA include Fabry Disease and Rare Cardiomyopathy.                                            Among its related pathways are Lysosome and Galactose metabolism.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and hydrolase activity.                                            An important paralog of this gene is NAGA.","no summary"
"vegetable","fennel","TG","ENSG00000042832","Thyroglobulin (Tg) is a glycoprotein homodimer produced predominantly by the thryroid gland. It acts as a substrate for the synthesis of thyroxine and triiodothyronine as well as the storage of the inactive forms of thyroid hormone and iodine. Thyroglobulin is secreted from the endoplasmic reticulum to its site of iodination, and subsequent thyroxine biosynthesis, in the follicular lumen. Mutations in this gene cause thyroid dyshormonogenesis, manifested as goiter, and are associated with moderate to severe congenital hypothyroidism. Polymorphisms in this gene are associated with susceptibility to autoimmune thyroid diseases (AITD) such as Graves disease and Hashimoto thryoiditis. [provided by RefSeq, Nov 2009]","TG (Thyroglobulin) is a Protein Coding gene.                                            Diseases associated with TG include Thyroid Dyshormonogenesis 3 and Autoimmune Thyroid Disease 3.                                            Among its related pathways are Thyroxine (Thyroid Hormone) Production and Aldosterone synthesis and secretion.                                            Gene Ontology (GO) annotations related to this gene include hormone activity and carboxylic ester hydrolase activity.                                            An important paralog of this gene is NLGN1.","Acts as a substrate for the production of iodinated thyroid hormones thyroxine (T4) and triiodothyronine (T3) (PubMed:32025030, PubMed:17532758). The synthesis of T3 and T4 involves iodination of selected tyrosine residues of TG/thyroglobulin followed by their oxidative coupling in the thyroid follicle lumen (PubMed:32025030). Following TG re-internalization and lysosomal-mediated proteolysis, T3 and T4 are released from the polypeptide backbone leading to their secretion into the bloodstream (PubMed:32025030). One dimer produces 7 thyroid hormone molecules (PubMed:32025030).
                         THYG_HUMAN,P01266
                         "
